	Emoji	Hexadecimal	Unicode	Texto	
💁‍♂	&#x200d00000000;	U+1F4810000200D00002642	\xf0\x9f\x92\x81\xe2\x80\x8d\xe2\x99\x82	
 🧝‍♀️	&#x0;	U+1F9DD0000200D000026400000FE0F	\xf0\x9f\xa7\x9d\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f	
 👨‍👩‍👧	&#x0;	U+1F4680000200D0001F4690000200D0001F467	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x91\xa7	
 👩‍👩‍👦‍👦	&#x0;	U+1F4690000200D0001F4690000200D0001F4660000200D0001F466	\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x91\xa6\xe2\x80\x8d\xf0\x9f\x91\xa6	
 🧟‍♀️	&#x0;	U+1F9DF0000200D000026400000FE0F	\xf0\x9f\xa7\x9f\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f	
 ⬜	&#x2b1c;	U+2B1C	\xe2\xac\x9c	
 ⬛	&#x2b1b;	U+2B1B	\xe2\xac\x9b	
 🐟	&#x1f41f;	U+1F41F	\xf0\x9f\x90\x9f	
 🐝	&#x1f41d;	U+1F41D	\xf0\x9f\x90\x9d	
 ⬅	&#x2b05;	U+2B05	\xe2\xac\x85	
 ⬇	&#x2b07;	U+2B07	\xe2\xac\x87	
 ⬆	&#x2b06;	U+2B06	\xe2\xac\x86	
 🇸🇬	&#x1f1f80001f1ec;	U+1F1F80001F1EC	\xf0\x9f\x87\xb8\xf0\x9f\x87\xac	
 🇸🇭	&#x1f1f80001f1ed;	U+1F1F80001F1ED	\xf0\x9f\x87\xb8\xf0\x9f\x87\xad	
 🇸🇮	&#x1f1f80001f1ee;	U+1F1F80001F1EE	\xf0\x9f\x87\xb8\xf0\x9f\x87\xae	
 🇸🇨	&#x1f1f80001f1e8;	U+1F1F80001F1E8	\xf0\x9f\x87\xb8\xf0\x9f\x87\xa8	
